yaxcatd (C:\Program Files\Tableau\Tableau 2021.1\bin\yaxcat\yaxcatd.exe) built at dc7ad89 listening on 127.0.0.1:55279 with 8 worker threads.
2021-04-27T16:03:50+0530 0.126ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.155ms; [no ensemble]::delete_data: dt_FUH3EICEFORW3KEO2ZH7O6UU, deleted = yes
2021-04-27T16:03:50+0530 0.769ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_YUTSCLJGEGN76373RMM5TLTP
2021-04-27T16:03:50+0530 4.188ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 48x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 6.093ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 48x1 targets, 48x1 givens
2021-04-27T16:03:50+0530 0.058ms; [no ensemble]::delete_data: dt_YUTSCLJGEGN76373RMM5TLTP, deleted = yes
2021-04-27T16:03:50+0530 0.752ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_WO6B7X27DTKMHE3IXCMPEAQY
2021-04-27T16:03:50+0530 1.442ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.071ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 2.526ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.094ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.066ms; [no ensemble]::delete_data: dt_WO6B7X27DTKMHE3IXCMPEAQY, deleted = yes
2021-04-27T16:03:50+0530 0.725ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_Q36DNYANJLBEOXS6OTR4ZG2E
2021-04-27T16:03:50+0530 0.673ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 32x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 5.453ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 32x1 targets, 32x1 givens
2021-04-27T16:03:50+0530 0.050ms; [no ensemble]::delete_data: dt_Q36DNYANJLBEOXS6OTR4ZG2E, deleted = yes
